ID, me,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
84293,Hisaaki Nakamine,M,36,170,68,Japan,JPN,1998 Winter,1998,Winter, gano,Curling,Curling Men's Curling, 
55152,Karl Bengt Johansson,M,26,,,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Flyweight, Greco-Roman", 
78652,Luciana Mendoza,F,26,170,68,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball, 
72017,Vittorio Lucchetti,M,29,,,Italy,ITA,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Rope Climbing, 
58379,Ernest James Keeley,M,21,,,South Africa,RSA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team", 
119822,Mark Peter Thomas,M,25,184,109,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Heavyweight II, 
85540,George Wilfred Nevinson,M,25,174,,Great Britain,GBR,1908 Summer,1908,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
98915,Milos Raonic,M,21,196,90,Canada,CAN,2012 Summer,2012,Summer,London,Tennis,Tennis Men's Singles, 
58346,Kstutis Keblys,M,28,201,98,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Double Sculls, 
128490,Wang Jingzhi,M,29,196,90,China,CHN,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Sabre, Team", 
126240,"Jessica Ann ""Jessie"" Vetter",F,24,173,70,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
20550,"Frances ""Bonny"" Chesson",F,33,172,64,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Team", 
72240,Virginio Lunardi,M,19,184,70,Italy,ITA,1988 Winter,1988,Winter,Calgary,Ski Jumping,"Ski Jumping Men's Large Hill, Individual", 
100407,Leandro de Carvalho Pinto Ribela,M,29,184,81,Brazil,BRA,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres, 
113893,Nicola Spirig Hug,F,34,166,54,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,Silver
124491,Zoe van der Weel,F,21,161,61,Great Britain,GBR,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball, 
123037,"Ruggero ""Roger"" Ubertalli",M,,,,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Equestrianism,"Equestrianism Men's Jumping, Individual", 
115568,Stoyan Koev Stoyanov,M,28,170,70,Bulgaria,BUL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Rings, 
7288,William Lee Ball,M,27,,,Canada,CAN,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres, 
34955,Vanessa Ferrari,F,25,146,45,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around, 
22601,Megan Helen Compain,F,28,175,65,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball, 
62434,Kong Yingchao,F,19,165,55,China,CHN,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay, 
114211,Michael Staksrud,M,23,178,,Norway,NOR,1932 Winter,1932,Winter,Lake Placid,Speed Skating,"Speed Skating Men's 10,000 metres", 
111090,Kothajit Singh Khadangbam,M,23,170,63,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey, 
85523,Joo Carlos Carvalho das Neves,M,20,170,60,Portugal,POR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Extra-Lightweight, 
82328,Eva Mortensen,F,18,171,55,Denmark,DEN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 800 metres Freestyle, 
124402,Brigitte Elizabeth Maria van der Lans (-Schuijt),F,16,175,68,Netherlands,NED,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Backstroke, 
43729,Fernand Guillou,M,22,180,78,France,FRA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Silver
133947,Danielle Zangrando,F,25,162,57,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Lightweight, 
35803,Laura lodie Flessel-Colovic,F,36,171,55,France,FRA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's epee, Individual", 
89184,Seiji Ono,M,32,177,65,Japan-1,JPN,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Doubles, 
125802,Loris Vellar,M,25,,,Italy,ITA,1976 Winter,1976,Winter,Innsbruck,Speed Skating,"Speed Skating Men's 5,000 metres", 
37185,Arnold Aaron Friedman,M,53,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event", 
107298,Walter Alphons Schneider,M,20,,,Switzerland,SUI,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 100 metres Freestyle, 
48057,Moiss Daniel Hernndez Encarnacin,M,23,191,79,Dominican Republic,DOM,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Welterweight, 
99252,Mary Elise Ray,F,18,152,48,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Uneven Bars, 
5663,Karl Birger Asplund,M,31,178,86,Sweden,SWE,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Hammer Throw, 
135297,Abdelkader Al-Zrouri,M,27,197,100,Morocco,MAR,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Men's Heavyweight, 
29221,"Bohdan ""Don"" Domansky",M,29,180,77,Canada,CAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 400 metres Relay, 
